Name Of Material,Maximum Allowable Stress
Aluminium,2.0E7
Copper,1.17E8
Tantalum,1.8E8
Wrought Iron,2.1E8
Mild Steel,2.48E8
Diamond,1.6E9
2800 Maraging Steel,2.61699994E9
Steel,6.9E8
